run_id,question_id,question,expected,actual,category,reason,tools,stop_reason
"simple-001-r1-1779422809167","simple-001","Who is the all-time NBA regular season scoring leader?","LeBron James","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-001-r2-1779422809510","simple-001","Who is the all-time NBA regular season scoring leader?","LeBron James","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-001-r3-1779422809654","simple-001","Who is the all-time NBA regular season scoring leader?","LeBron James","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-002-r1-1779422809793","simple-002","How many career points does LeBron James have?","43440","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-002-r2-1779422809934","simple-002","How many career points does LeBron James have?","43440","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-002-r3-1779422810076","simple-002","How many career points does LeBron James have?","43440","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-003-r1-1779422810213","simple-003","Who won the NBA MVP award in the 2023-24 season?","Nikola","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-003-r2-1779422810391","simple-003","Who won the NBA MVP award in the 2023-24 season?","Nikola","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-003-r3-1779422810551","simple-003","Who won the NBA MVP award in the 2023-24 season?","Nikola","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"multi-001-r1-1779422810716","multi-001","Who has more career points: Michael Jordan or Kobe Bryant?","Kobe","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"multi-001-r2-1779422810855","multi-001","Who has more career points: Michael Jordan or Kobe Bryant?","Kobe","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"multi-001-r3-1779422811000","multi-001","Who has more career points: Michael Jordan or Kobe Bryant?","Kobe","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"vague-001-r1-1779422811146","vague-001","Who scored the most?","CLARIFICATION","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"vague-001-r2-1779422811199","vague-001","Who scored the most?","CLARIFICATION","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"vague-001-r3-1779422811256","vague-001","Who scored the most?","CLARIFICATION","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"specific-001-r1-1779422811318","specific-001","What was Michael Jordan PER in the 1995 playoffs?","24.8","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"specific-001-r2-1779422811374","specific-001","What was Michael Jordan PER in the 1995 playoffs?","24.8","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"specific-001-r3-1779422811436","specific-001","What was Michael Jordan PER in the 1995 playoffs?","24.8","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
